Day,SZA,Pre vitamin
190601,54.998,0.1344
190602,55.13,0.132
190603,55.255,0.1297
190604,55.375,0.131
190605,55.484,0.1324
190606,55.592,0.1382
190607,55.686,0.1349
190608,55.782,0.1305
190609,55.865,0.1297
190610,55.944,0.1289
190611,56.022,0.1217
190612,56.079,0.1241
190613,56.145,0.1189
190614,56.195,0.1309
190615,56.239,0.1365
190616,56.273,0.1444
190617,56.306,0.1387
190618,56.329,0.1415
190619,56.349,0.1413
190620,56.36,0.1455
190621,56.361,0.1465
190622,56.357,0.1359
190623,56.346,0.1356
190624,56.335,0.1236
190625,56.306,0.1186
190626,56.278,0.1139
190627,56.237,0.1206
190628,56.198,0.1139
190629,56.137,0.1074
190630,56.086,0.1135
190701,56.013,0.09998
190702,55.952,0.1032
190703,55.872,0.1075
190704,55.783,0.1029
190705,55.686,0.0986
190706,55.595,0.1144
190707,55.482,0.1338
190708,55.371,0.1303
190709,55.259,0.1469
190710,55.135,0.1389
190711,55.005,0.1341
190712,54.868,0.1296
190713,54.722,0.1345
190714,54.568,0.1313
190715,54.413,0.1323
190716,54.254,0.1415
190717,54.084,0.1414
190718,53.911,0.1273
190719,53.731,0.1284
190720,53.546,0.1296
190721,53.357,0.1308
190722,53.163,0.1202
190723,52.954,0.1188
190724,52.749,0.1273
190725,52.537,0.1213
190726,52.317,0.1215
190727,52.09,0.127
190728,51.866,0.1328
190729,51.636,0.1318
190730,51.385,0.1572
190731,51.146,0.1627
190801,50.892,0.148
190802,50.645,0.1274
190803,50.377,0.1468
190804,50.117,0.1823
190805,49.842,0.1929
190806,49.571,0.2041
190807,49.294,0.1986
190808,49.007,0.1935
190809,48.728,0.1603
190810,48.433,0.1767
190811,48.137,0.1923
190812,47.836,0.1881
190813,47.532,0.1841
190814,47.227,0.201
190815,46.918,0.2035
190816,46.606,0.2141
190817,46.282,0.2034
190818,45.967,0.1968
190819,45.641,0.2025
190820,45.308,0.2173
190821,44.977,0.2089
190822,44.642,0.2011
190823,44.303,0.2375
190824,43.964,0.2145
190825,43.62,0.2453
190826,43.278,0.2574
190827,42.923,0.2438
190828,42.569,0.243
190829,42.217,0.2421
190830,41.861,0.205
190831,41.508,0.2231
190901,41.139,0.271
190902,40.776,0.2496
190903,40.409,0.2295
190904,40.04,0.2425
190905,39.677,0.2583
190906,39.304,0.2837
190907,38.925,0.3122
190908,38.553,0.2762
190909,38.178,0.2461
190910,37.797,0.2519
190911,37.414,0.304
190912,37.038,0.3046
190913,36.654,0.324
190914,36.276,0.3447
190915,35.887,0.3574
190916,35.5,0.3192
190917,35.119,0.3356
190918,34.731,0.3588
190919,34.361,0.3444
190920,33.957,0.3232
190921,33.566,0.3463
190922,33.177,0.3406
